Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
abind,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.4-5,NA,R (>= 1.5.0),"methods, utils",NA,NA,NA,LGPL (>= 2),NA,NA,NA,NA,no,3.4.1
acepack,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.4.1,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.3
ade4,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.7-10,NA,R (>= 2.10),"graphics, grDevices, methods, stats, utils, MASS",NA,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, pixmap, sp, spdep, splancs, waveslim",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.3
afex,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.19-1,NA,"R (>= 3.1.0), lme4 (>= 1.1-8), emmeans","stringr, coin, pbkrtest (>= 0.4-1), lmerTest, car, reshape2,
stats, methods",NA,"xtable, parallel, plyr, optimx, nloptr, knitr, rmarkdown,
lattice, latticeExtra, multcomp, testthat, mlmRev, dplyr,
tidyr, dfoptim, Matrix, psych, ggplot2",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
anesrake,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.80,NA,"Hmisc, weights",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.4
anytime,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.3.1,NA,R (>= 3.2.0),"Rcpp (>= 0.12.9), RApiDatetime","Rcpp (>= 0.12.9), BH, RApiDatetime",gettz,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.4
apaTables,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.0.2,NA,R (>= 3.1.2),"stats, utils, methods, car, broom, dplyr, boot, tibble",NA,"testthat, knitr, rmarkdown, psych, ez, tidyverse, MBESS",NA,MIT License + file LICENSE,NA,NA,NA,NA,no,3.4.3
aplpack,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.3.0,NA,"R (>= 2.8.0), tcltk",NA,NA,tkrplot,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.1
arm,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.9-3,NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.3-5,NA,R (>= 3.0.0),"assertive.base (>= 0.0-4), assertive.properties (>= 0.0-2),
assertive.types (>= 0.0-2), assertive.numbers,
assertive.strings, assertive.datetimes, assertive.files,
assertive.sets (>= 0.0-2), assertive.matrices,
assertive.models, assertive.data, assertive.data.uk,
assertive.data.us, assertive.reflection (>= 0.0-2),
assertive.code, knitr",NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
